datetime,openPrice,closePrice,highPrice,lowPrice
201803122300,974394,974764,975696,974149
201803122301,974764,975348,975405,974669
201803122302,975521,977480,977677,974758
201803122303,977552,978456,978456,976602
201803122304,978456,979398,979828,977733
201803122305,979398,979402,980368,979159
201803122306,979398,981176,981296,978242
201803122307,981176,983115,983568,980473
201803122308,983076,981614,983292,981501
201803122309,981614,979918,981614,978939
201803122310,979918,981396,981396,978136
201803122311,981396,980667,981617,980294
201803122312,980367,979913,980679,979595
201803122313,980031,980591,981050,979881
201803122314,981003,982160,982691,980937
201803122315,982160,981082,982618,980858
201803122316,981110,982651,982772,980912
201803122317,982651,982529,982651,981869
201803122318,982605,982863,984624,982605
201803122319,982890,980767,983044,980339
201803122320,980610,980286,981026,978646
201803122321,980282,981712,982196,980251
201803122322,981709,982419,982435,981518
201803122323,982419,981365,982419,981323
201803122324,981365,980046,981405,979873
201803122325,980046,980470,980785,980046
201803122326,980490,982087,982131,980490
201803122327,982116,983427,983427,981795
201803122328,983427,985705,988060,983427
201803122329,985705,986200,988265,985705
201803122330,986449,986468,988755,986302
201803122331,986468,986618,987324,985925
201803122332,986618,983981,986811,983623
201803122333,984176,984149,985465,983682
201803122334,984149,983433,984279,983122
201803122335,983311,984294,984294,982757
201803122336,984293,985595,985744,984293
201803122337,985497,983207,985595,982840
201803122338,983207,983583,984389,982758
201803122339,983736,984455,984836,983631
201803122340,984455,984212,984479,983656
201803122341,984197,983995,984593,983787
201803122342,983995,983250,984436,981390
201803122343,983278,982655,983436,982645
201803122344,982670,980583,982670,980234
201803122345,980490,981588,982715,980490
201803122346,981588,982127,982601,981430
201803122347,982178,982824,983167,981679
201803122348,982824,982395,983914,981842
201803122349,982395,982380,983257,982345
201803122350,982380,982685,983193,982380
201803122351,982685,983170,983170,982067
201803122352,983170,984107,985103,983170
201803122353,984107,984709,984731,984012
201803122354,984709,982939,984797,982814
201803122355,982939,980507,982939,980204
201803122356,980507,975501,980629,973559
201803122357,975689,977436,977703,974279
201803122358,977436,979357,979947,977375
201803122359,979207,979889,980350,978533
201803130000,979890,976210,979988,975934
201803130001,976309,972891,976368,972232
201803130002,973191,973279,974055,972457
201803130003,973279,975132,975306,973181
201803130004,974982,975222,975262,974519
201803130005,975231,975324,975735,975231
201803130006,975324,975672,975672,974765
201803130007,975667,977909,978185,975642
201803130008,977909,978186,979048,977407
201803130009,978178,978991,979205,977931
201803130010,978991,978269,979312,978269
201803130011,978269,977779,978567,976293
201803130012,977779,980956,980956,977772
201803130013,980578,980051,981800,979964
201803130014,980056,983017,983026,980056
201803130015,983017,982920,983650,982765
201803130016,982913,982071,983341,981606
201803130017,982056,983177,983229,982053
201803130018,983182,982248,983182,982023
201803130019,982256,982285,982788,982157
201803130020,982334,981406,982368,981385
201803130021,981406,981123,981420,980645
201803130022,981123,981725,982128,980920
201803130023,981725,981899,982330,981465
201803130024,981899,983998,983998,981899
201803130025,983998,984974,985030,983786
201803130026,984974,982708,984981,982708
201803130027,982888,982885,982888,981939
201803130028,982885,982286,983217,982215
201803130029,982286,982248,982945,982248
201803130030,982248,980515,982248,980433
201803130031,980458,982855,982855,980458
201803130032,982855,983752,983933,982663
201803130033,983752,982718,983752,982340
201803130034,982568,983665,983665,982505
201803130035,983665,988327,988327,983665
201803130036,988327,987445,988815,986814
201803130037,987678,990572,990632,987037
201803130038,990740,992773,995216,990740
201803130039,992773,992430,994233,990377
201803130040,992430,993360,994076,991935
201803130041,993360,994006,995772,993241
201803130042,993986,990607,994066,990607
201803130043,990682,989954,991935,989949
201803130044,989954,991813,992583,989954
201803130045,991843,990941,991843,990177
201803130046,991030,989914,991030,988987
201803130047,989914,988304,990156,988184
201803130048,988304,989696,989783,988303
201803130049,989702,991036,992039,989684
201803130050,991055,990483,991099,990421
201803130051,990562,991344,991344,990044
201803130052,991344,990554,991471,990502
201803130053,990546,991991,992703,990546
201803130054,991991,992466,993645,991991
201803130055,992466,992438,992870,992123
201803130056,992135,990920,992472,990920
201803130057,990844,992010,992010,989976
201803130058,992010,991851,992077,991322
201803130059,991851,990561,991851,990561
201803130100,990561,990041,990589,988863
201803130101,990043,990383,990654,989709
